# g,occ0,occ1,ipr
0.000000000000000000e+00,4.999999999999998890e-01,4.999999999999998890e-01,4.999999999999997780e-01
8.163265306122448328e-02,5.000000000000002220e-01,4.999999999999996669e-01,4.999999999999998890e-01
1.632653061224489666e-01,4.999999999999996669e-01,4.999999999999996669e-01,4.999999999999993339e-01
2.448979591836734637e-01,5.000000000000003331e-01,5.000000000000005551e-01,5.000000000000008882e-01
3.265306122448979331e-01,5.000000000000003331e-01,5.000000000000002220e-01,5.000000000000005551e-01
4.081632653061224025e-01,5.000000000000001110e-01,4.999999999999993339e-01,4.999999999999994449e-01
4.897959183673469274e-01,5.000000000000002220e-01,4.999999999999991118e-01,4.999999999999993339e-01
5.714285714285713969e-01,5.000000000000000000e-01,4.999999999999998335e-01,4.999999999999998335e-01
6.530612244897958663e-01,5.000000000000001110e-01,5.000000000000005551e-01,5.000000000000006661e-01
7.346938775510203357e-01,4.999999999999999445e-01,4.999999999999998890e-01,4.999999999999998335e-01
8.163265306122448051e-01,5.000000000000002220e-01,5.000000000000000000e-01,5.000000000000002220e-01
8.979591836734692745e-01,4.999999999999997780e-01,4.999999999999998335e-01,4.999999999999996114e-01
9.795918367346938549e-01,4.999999999999996114e-01,5.000000000000003331e-01,4.999999999999999445e-01
1.061224489795918213e+00,5.000000000000003331e-01,5.000000000000003331e-01,5.000000000000006661e-01
1.142857142857142794e+00,4.999999999999997224e-01,4.999999999999991673e-01,4.999999999999988898e-01
1.224489795918367152e+00,4.999999999999999445e-01,4.999999999999997224e-01,4.999999999999996669e-01
1.306122448979591733e+00,5.000000000000005551e-01,5.000000000000003331e-01,5.000000000000008882e-01
1.387755102040816313e+00,4.999999999999991673e-01,5.000000000000013323e-01,5.000000000000004441e-01
1.469387755102040671e+00,5.000000000000041078e-01,4.999999999999982792e-01,5.000000000000024425e-01
1.551020408163265252e+00,4.999999999999987788e-01,5.000000000000028866e-01,5.000000000000016653e-01
1.632653061224489610e+00,4.999999999999960587e-01,5.000000000000048850e-01,5.000000000000008882e-01
1.714285714285714191e+00,4.999999999999988343e-01,5.000000000000016653e-01,5.000000000000004441e-01
1.795918367346938549e+00,5.000000000000039968e-01,4.999999999999965583e-01,5.000000000000005551e-01
1.877551020408163129e+00,5.000000000000006661e-01,4.999999999999990008e-01,4.999999999999996669e-01
1.959183673469387710e+00,4.999999999999877875e-01,5.000000000000124345e-01,5.000000000000002220e-01
2.040816326530612290e+00,5.000000000000034417e-01,4.999999999999977240e-01,5.000000000000011102e-01
2.122448979591836427e+00,5.000000000000200950e-01,4.999999999999798495e-01,4.999999999999999445e-01
2.204081632653061007e+00,4.999999999999916178e-01,5.000000000000084377e-01,5.000000000000000000e-01
2.285714285714285587e+00,5.000000000000097700e-01,4.999999999999900080e-01,4.999999999999997780e-01
2.367346938775510168e+00,5.000000000000055511e-01,4.999999999999946154e-01,5.000000000000002220e-01
2.448979591836734304e+00,4.999999999999843459e-01,5.000000000000157652e-01,5.000000000000001110e-01
2.530612244897958885e+00,4.999999999999903966e-01,5.000000000000098810e-01,5.000000000000002220e-01
2.612244897959183465e+00,4.999999999999988343e-01,5.000000000000017764e-01,5.000000000000006661e-01
2.693877551020408045e+00,4.999999999999601430e-01,5.000000000000406342e-01,5.000000000000007772e-01
2.775510204081632626e+00,5.000000000000303091e-01,4.999999999999703570e-01,5.000000000000006661e-01
2.857142857142856762e+00,5.000000000000001110e-01,4.999999999999999445e-01,5.000000000000000000e-01
2.938775510204081343e+00,5.000000000000000000e-01,5.000000000000005551e-01,5.000000000000005551e-01
3.020408163265305923e+00,5.000000000000139888e-01,4.999999999999846234e-01,4.999999999999986122e-01
3.102040816326530503e+00,5.000000000000232037e-01,4.999999999999776845e-01,5.000000000000008882e-01
3.183673469387754640e+00,4.999999999999638622e-01,5.000000000000374145e-01,5.000000000000013323e-01
3.265306122448979220e+00,5.000000000000361933e-01,4.999999999999653610e-01,5.000000000000015543e-01
3.346938775510203801e+00,5.000000000000021094e-01,4.999999999999973355e-01,4.999999999999994449e-01
3.428571428571428381e+00,5.000000000001243450e-01,4.999999999998755440e-01,4.999999999999998890e-01
3.510204081632652962e+00,5.000000000000454081e-01,4.999999999999540368e-01,4.999999999999994449e-01
3.591836734693877098e+00,5.000000000000819345e-01,4.999999999999171774e-01,4.999999999999991118e-01
3.673469387755101678e+00,4.999999999999765188e-01,5.000000000000245359e-01,5.000000000000011102e-01
3.755102040816326259e+00,4.999999999998691602e-01,5.000000000001298961e-01,4.999999999999990563e-01
3.836734693877550839e+00,5.000000000001811884e-01,4.999999999998179234e-01,4.999999999999991118e-01
3.918367346938775420e+00,4.999999999999867328e-01,5.000000000000124345e-01,4.999999999999991673e-01
4.000000000000000000e+00,5.000000000001022515e-01,4.999999999998983591e-01,5.000000000000006661e-01
